Email,First Name,Last Name,Company,Department,Team,Captain
mporteous89@hhs.gov,Miranda,Porteous,Group 18,Back-office,Legal,True
mmuddimera@webeden.co.uk,Madelene,Muddimer,Group 18,Dev,CRUD A,False
sbradick54@home.pl,Stephine,Bradick,Group 18,Dev,Back-end B,False
djosupeit7e@e-recht24.de,Duffy,Josupeit,Group 18,Dev,CRUD B,False
arikard6y@abc.net.au,Alexandro,Rikard,Group 18,Dev,API A,False
nygo7n@apple.com,Nada,Ygo,Group 18,Sales,UK,False
mlumby24@aboutads.info,Marinna,Lumby,Group 18,Sales,Costa Rica,False
ajancik4p@prnewswire.com,Ariana,Jancik,Group 18,Sales,Mexico,False
ndelcastel53@timesonline.co.uk,Nehemiah,Delcastel,Group 18,Sales,Portugal,False
belsmor23@goo.ne.jp,Bronson,Elsmor,Group 18,Sales,Colombia,False
kwinsomeaq@ovh.net,Kandy,Winsome,Group 18,Sales,Bolivia,False
mtraseco@newyorker.com,Milton,Trase,Group 18,Back-office,Support,False
