Email,First Name,Last Name,Company,Department,Team,Captain
tenderwickbi@netvibes.com,Tallou,Enderwick,Group 33,Dev,Windows B,True
bdrinkhill83@dagondesign.com,Britte,Drinkhill,Group 33,Dev,Front-end A,False
gfarish3s@wiley.com,Godwin,Farish,Group 33,Dev,CRUD A,False
rurwin74@fema.gov,Ronnie,Urwin,Group 33,Dev,CRUD B,False
zperkinsbq@artisteer.com,Zorah,Perkins,Group 33,Dev,Linux B,False
bdaniells7@sun.com,Baxter,Daniells,Group 33,Sales,Panama,False
jkief1r@amazon.de,Jeane,Kief,Group 33,Sales,Canada,False
jwindress35@businesswire.com,Josepha,Windress,Group 33,Sales,Brazil,False
mgethingac@i2i.jp,Miof mela,Gething,Group 33,Sales,Portugal,False
kjoy5g@cnn.com,Kirstin,Joy,Group 33,Back-office,Finance,False
csnel8a@cnn.com,Clywd,Snel,Group 33,Back-office,Customer Engagement,False
wflello7a@whitehouse.gov,Whitman,Flello,Group 33,Back-office,HR,False
