Email,First Name,Last Name,Company,Department,Team,Captain
ldaunay7d@theguardian.com,Liesa,Daunay,Group 15,Sales,Panama,True
dpoints41@ca.gov,Dorice,Points,Group 15,Dev,API B,False
dpitchersdp@house.gov,Dorree,Pitchers,Group 15,Dev,Mobile B,False
amackneis90@vkontakte.ru,Anette,Mackneis,Group 15,Dev,Mobile A,False
clismer72@blog.com,Christal,Lismer,Group 15,Dev,API A,False
rchattoa7@tinyurl.com,Rogerio,Chatto,Group 15,Sales,Australia,False
cdollar40@merriam-webster.com,Carlin,Dollar,Group 15,Sales,Canada,False
jdonkersleys@zimbio.com,Johan,Donkersley,Group 15,Sales,Portugal,False
lkapiloff9u@hao123.com,Lorene,Kapiloff,Group 15,Sales,USA,False
jdefont96@privacy.gov.au,Jobi,Defont,Group 15,Sales,Bolivia,False
ghamerton9o@google.com.hk,Gertruda,Hamerton,Group 15,Back-office,Customer Engagement,False
cwiltshirem@youtu.be,Corrinne,Wiltshire,Group 15,Back-office,Legal,False
