Email,First Name,Last Name,Company,Department,Team,Captain
nrigardeaudb@msn.com,Nancee,Rigardeau,Group 40,Dev,Mobile A,True
lsafhill5i@typepad.com,Lind,Safhill,Group 40,Dev,API B,False
ajosskowitz3g@utexas.edu,Alexis,Josskowitz,Group 40,Dev,CRUD B,False
krainy4w@4shared.com,Kendell,Rainy,Group 40,Dev,API A,False
akeddle1q@usatoday.com,Alex,Keddle,Group 40,Sales,UK,False
cgergus2h@dagondesign.com,Caleb,Gergus,Group 40,Sales,Costa Rica,False
apaoletti39@bloglines.com,Alvira,Paoletti,Group 40,Sales,Chile,False
cstenton69@nsw.gov.au,Connor,Stenton,Group 40,Sales,Portugal,False
tlethabridge1o@soup.io,Towney,Lethabridge,Group 40,Sales,Argentina,False
hrosewellcl@seesaa.net,Hercules,Rosewell,Group 40,Back-office,Customer Engagement,False
rhalhead9p@ucoz.com,Renata,Halhead,Group 40,Back-office,Support,False
garden2r@gov.uk,Georgia,Arden,Group 40,Back-office,Legal,False
