Email,First Name,Last Name,Company,Department,Team,Captain
rclancy7q@amazon.de,Rodolphe,Clancy,Group 16,Sales,Argentina,True
ckellewaydj@alibaba.com,Cleopatra,Kelleway,Group 16,Dev,Front-end A,False
hnealyb@ibm.com,Haleigh,Nealy,Group 16,Dev,Mobile B,False
crichardsson9e@europa.eu,Costa,Richardsson,Group 16,Dev,Mobile A,False
rspadaro1s@irs.gov,Rhett,Spadaro,Group 16,Dev,Front-end B,False
skenworth3y@miibeian.gov.cn,Sauveur,Kenworth,Group 16,Sales,Panama,False
cnicholes5w@pagesperso-orange.fr,Chucho,Nicholes,Group 16,Sales,Costa Rica,False
pneubiginq@who.int,Petrina,Neubigin,Group 16,Sales,Chile,False
avivian5s@w3.org,Almeria,Vivian,Group 16,Sales,Portugal,False
abaitson2n@squarespace.com,Alecia,Baitson,Group 16,Back-office,Finance,False
mberinger8u@rediff.com,Marilee,Beringer,Group 16,Back-office,Customer Engagement,False
criseley7b@purevolume.com,Cherilynn,Riseley,Group 16,Back-office,Legal,False
