Email,First Name,Last Name,Company,Department,Team,Captain
fgammill15@ihg.com,Frasquito,Gammill,Group 2,Dev,Windows A,True
dbatramn@time.com,Desiri,Batram,Group 2,Dev,CRUD A,False
cchrichtoncz@w3.org,Care,Chrichton,Group 2,Dev,Mobile B,False
amilmorew@lycos.com,Arni,Milmore,Group 2,Dev,Back-end A,False
rdybell2f@techcrunch.com,Rutledge,Vanick,Group 2,Dev,Linux A,False
dpetruszkabr@yahoo.co.jp,Daren,Petruszka,Group 2,Dev,API A,False
cgowansonav@symantec.com,Cristen,Gowanson,Group 2,Sales,Panama,False
thenderson4y@indiegogo.com,Teena,Henderson,Group 2,Sales,Chile,False
dsteanb1@nyu.edu,Dorothea,Stean,Group 2,Sales,Mexico,False
gdurante2u@edublogs.org,Galen,Durante,Group 2,Sales,Argentina,False
ppritcharda0@princeton.edu,Peggie,Pritchard,Group 2,Back-office,Finance,False
rkubistade@indiatimes.com,Roi,Kubista,Group 2,Back-office,HR,False
