Email,First Name,Last Name,Company,Department,Team,Captain
kgooley8d@weather.com,Katuscha,Gooley,Group 19,Back-office,Support,True
coverell5c@mtv.com,Conchita,Overell,Group 19,Dev,Windows B,False
gteulierl@cbc.ca,Gabie,Teulier,Group 19,Dev,CRUD B,False
wferrarese30@cnbc.com,Wendy,Ferrarese,Group 19,Dev,API A,False
klegge16@linkedin.com,Kelly,Legge,Group 19,Sales,UK,False
nplayfair1y@tumblr.com,Nora,Playfair,Group 19,Sales,Costa Rica,False
ckennewayb0@technorati.com,Charles,Kenneway,Group 19,Sales,Canada,False
gbraid7y@illinois.edu,Glennie,Braid,Group 19,Sales,Brazil,False
balthorp8f@cargocollective.com,Billye,Althorp,Group 19,Sales,Portugal,False
igadsdon5p@parallels.com,Irv,Gadsdon,Group 19,Back-office,Finance,False
rivatt9j@psu.edu,Ruthy,Ivatt,Group 19,Back-office,Customer Engagement,False
dlanphere6i@squarespace.com,Danyette,Lanphere,Group 19,Back-office,HR,False
