Email,First Name,Last Name,Company,Department,Team,Captain
cughetti6h@yandex.ru,Chaim,Ughetti,Group 14,Dev,Mobile B,True
plapides1x@deviantart.com,Nickollas,Lapides,Group 14,Dev,API B,False
smayhoh@thetimes.co.uk,Saul,Mayho,Group 14,Dev,Back-end B,False
lkittredgecq@businesswire.com,Loraine,Kittredge,Group 14,Dev,Mobile A,False
jbouchard3i@disqus.com,Juliette,Bouchard,Group 14,Dev,Windows A,False
aloiterton2l@pagesperso-orange.fr,Antons,Loiterton,Group 14,Sales,Panama,False
lharvett8o@tumblr.com,Lori,Harvett,Group 14,Sales,Canada,False
dmccahey7s@huffingtonpost.com,Dun,McCahey,Group 14,Sales,Brazil,False
ipetken4e@samsung.com,Ian,Petken,Group 14,Sales,Colombia,False
aivimey97@springer.com,Austine,Ivimey,Group 14,Sales,Bolivia,False
jobee8@ifeng.com,Jacinthe,O' Bee,Group 14,Back-office,Customer Engagement,False
ecubberley7o@stumbleupon.com,Estrellita,Cubberley,Group 14,Back-office,HR,False
