Email,First Name,Last Name,Company,Department,Team,Captain
jpetrushkadi@nih.gov,Judie,Petrushka,Group 41,Back-office,Legal,True
sdownesah@cbsnews.com,Sue,Downes,Group 41,Dev,API B,False
bstandbridge91@businessweek.com,Bart,Standbridge,Group 41,Dev,CRUD A,False
rbullin27@hatena.ne.jp,Vanicks,Bullin,Group 41,Dev,Mobile A,False
ttink6w@yandex.ru,Thorstein,Tink,Group 41,Dev,API A,False
wiacabucci1l@reverbnation.com,Waiter,Iacabucci,Group 41,Sales,Panama,False
hhallows3q@cpanel.net,Hernando,Hallows,Group 41,Sales,Chile,False
fskaep@github.com,Fredric,Skae,Group 41,Sales,Brazil,False
mgarrett5y@engadget.com,Melamie,Garrett,Group 41,Sales,Argentina,False
lfavela5@whitehouse.gov,Lissa,Favel,Group 41,Back-office,Finance,False
maguirrezabalar@odnoklassniki.ru,Miof mela,Aguirrezabala,Group 41,Back-office,Customer Engagement,False
