Email,First Name,Last Name,Company,Department,Team,Captain
weakinaw@unc.edu,Willow,Eakin,Group 29,Dev,Mobile B,True
babrashkov4@cnn.com,Barbee,Abrashkov,Group 29,Dev,API B,False
srobersonbz@redcross.org,Sande,Roberson,Group 29,Dev,Back-end A,False
ybaalham73@netvibes.com,Yale,Baalham,Group 29,Dev,Windows A,False
rbyassd2@examiner.com,Rheta,Byass,Group 29,Dev,API A,False
aolfert6t@vk.com,Arley,Olfert,Group 29,Sales,Costa Rica,False
mbackler86@about.com,Marlon,Backler,Group 29,Sales,Chile,False
jdewolfe42@gmpg.org,Jana,De Wolfe,Group 29,Sales,Brazil,False
dneachell4v@phpbb.com,Danya,Neachell,Group 29,Sales,Colombia,False
dcropper6f@mozilla.com,Dale,Cropper,Group 29,Back-office,Finance,False
kjoselevitz6x@prweb.com,Kassie,Joselevitz,Group 29,Back-office,Support,False
worwind0@nih.gov,Winny,Orwin,Group 29,Back-office,Legal,False
