Email,First Name,Last Name,Company,Department,Team,Captain
vparadis5f@nytimes.com,Vincent,Paradis,Group 12,Sales,Argentina,True
acolbertsonca@hc360.com,Amelie,Colbertson,Group 12,Dev,Windows B,False
gtincknell13@360.cn,Giacinta,Tincknell,Group 12,Dev,Mobile B,False
mhutchinson44@mysql.com,Margaret,Hutchinson,Group 12,Dev,Mobile A,False
cjosefowicz5l@a8.net,Catlin,Josefowicz,Group 12,Dev,API A,False
dprevostao@jimdo.com,Darnall,Prevost,Group 12,Sales,Peru,False
mmcbayne4o@globo.com,Mikkel,McBayne,Group 12,Sales,Australia,False
dbeel3l@reuters.com,Dulci,Beel,Group 12,Sales,Mexico,False
gromayne6c@typepad.com,Germayne,Romayne,Group 12,Sales,Brazil,False
aboram2t@twitpic.com,Annetta,Boram,Group 12,Sales,USA,False
rlyallax@economist.com,Rodolfo,Lyall,Group 12,Back-office,Finance,False
ccracknell50@stumbleupon.com,Cullen,Cracknell,Group 12,Back-office,HR,False
