Email,First Name,Last Name,Company,Department,Team,Captain
cstill3v@amazonaws.com,Calla,Still,Group 8,Sales,UK,True
ahobble58@live.com,Audrey,Hobble,Group 8,Dev,Windows B,False
mbizzey1a@feedburner.com,Merrile,Bizzey,Group 8,Dev,Mobile B,False
glimeburn3t@virginia.edu,Gilberto,Limeburn,Group 8,Dev,Mobile A,False
fmckevin1k@forbes.com,Felice,McKevin,Group 8,Dev,Linux B,False
mpassby3f@princeton.edu,Minne,Passby,Group 8,Sales,Panama,False
rechellez@cornell.edu,Ruthie,Echelle,Group 8,Sales,Chile,False
deickhoff98@economist.com,Dalenna,Eickhoff,Group 8,Sales,Brazil,False
fgeytont@linkedin.com,Farley,Geyton,Group 8,Sales,Colombia,False
phapperds@is.gd,Page,Happer,Group 8,Sales,Bolivia,False
bdavidscf@imageshack.us,Benoit,Davids,Group 8,Back-office,Customer Engagement,False
kworvell3k@histats.com,Kevan,Worvell,Group 8,Back-office,Legal,False
