Email,First Name,Last Name,Company,Department,Team,Captain
sgerrie9k@wufoo.com,Sharleen,Gerrie,Group 24,Dev,Linux B,True
ccordell1j@harvard.edu,Christiane,Cordell,Group 24,Dev,CRUD A,False
fbillows1u@disqus.com,Far,Billows,Group 24,Dev,Back-end B,False
syankeevdk@nymag.com,Sky,Yankeev,Group 24,Dev,CRUD B,False
jconechiebs@columbia.edu,Jasmin,Conechie,Group 24,Dev,Front-end B,False
ehaxbie2v@phpbb.com,Eustacia,Haxbie,Group 24,Sales,UK,False
bpicott4u@purevolume.com,Billy,Picott,Group 24,Sales,Australia,False
vgamlynd9@photobucket.com,Viviene,Gamlyn,Group 24,Sales,Chile,False
lwahnercb@mozilla.org,Lexie,Wahner,Group 24,Sales,Mexico,False
fheepsbk@macromedia.com,Frasco,Heeps,Group 24,Sales,Colombia,False
lcobbold94@ucla.edu,Lion,Cobbold,Group 24,Back-office,Finance,False
alarge2x@msu.edu,Aidan,Large,Group 24,Back-office,HR,False
