Email,First Name,Last Name,Company,Department,Team,Captain
vhazlewoodd3@ow.ly,Viola,Hazlewood,Group 37,Sales,Panama,True
fhubbard2@bluehost.com,Frank,Hubbard,Group 37,Dev,Front-end A,False
esweedbm@baidu.com,Emlynne,Sweed,Group 37,Dev,Back-end B,False
glage5b@hc360.com,Giovanni,Lage,Group 37,Dev,CRUD B,False
hflorence2m@indiegogo.com,Halsy,Florence,Group 37,Dev,API A,False
mbonnin1w@goodreads.com,Milli,Bonnin,Group 37,Sales,Costa Rica,False
fforrebd@wikispaces.com,Florette,Forre,Group 37,Sales,Australia,False
nabramoviciar@usnews.com,Norby,Abramovici,Group 37,Sales,Mexico,False
gannes5q@mashable.com,Gaelan,Annes,Group 37,Sales,Colombia,False
bnellisc5@cnet.com,Brnaba,Nellis,Group 37,Sales,Argentina,False
mdaintree4q@house.gov,Marc,Daintree,Group 37,Back-office,Customer Engagement,False
hfullegar5n@quantcast.com,Hunter,Fullegar,Group 37,Back-office,Legal,False
