Email,First Name,Last Name,Company,Department,Team,Captain
rrutgers7u@blinklist.com,Ruthy,Rutgers,Group 17,Sales,Bolivia,True
abracci81@taobao.com,Aron,Bracci,Group 17,Dev,Windows B,False
ustobie8y@aol.com,Ulrike,Stobie,Group 17,Dev,Back-end B,False
ilaffling82@tumblr.com,Iorgos,Laffling,Group 17,Dev,CRUD B,False
csavage2k@slate.com,Cos,Savage,Group 17,Dev,API A,False
rlazell8q@homestead.com,Rich,Lazell,Group 17,Sales,Peru,False
rweetch9q@facebook.com,Rudd,Weetch,Group 17,Sales,Costa Rica,False
bmeese4h@cmu.edu,Baillie,Meese,Group 17,Sales,Mexico,False
sconner5m@businesswire.com,Shanna,Conner,Group 17,Sales,Brazil,False
adrewitt2a@seesaa.net,Atalanta,Drewitt,Group 17,Sales,Argentina,False
kshawel2b@spotify.com,Kelsey,Shawel,Group 17,Back-office,Customer Engagement,False
mstainbridgedr@wordpress.org,Mac,Stainbridge,Group 17,Back-office,HR,False
