Email,First Name,Last Name,Company,Department,Team,Captain
zpreeneb9@bluehost.com,Zaccaria,Preene,Group 31,Sales,Canada,True
llanferby@tamu.edu,Lyn,Lanfer,Group 31,Dev,Windows B,False
fstitt9b@discovery.com,Feliks,Stitt,Group 31,Dev,CRUD A,False
stunnicky@comcast.net,Seward,Tunnick,Group 31,Dev,Back-end A,False
vcromer36@pcworld.com,Valentia,Cromer,Group 31,Dev,Front-end B,False
dwiddisonc8@foxnews.com,Doralynne,Widdison,Group 31,Dev,API A,False
ocoxhell9c@fc2.com,Ophelie,Coxhell,Group 31,Sales,Costa Rica,False
jwolfendell7i@apache.org,Julina,Wolfendell,Group 31,Sales,Chile,False
cstudders9x@amazon.co.uk,Celestine,Studders,Group 31,Sales,Brazil,False
tguillartbt@bravesites.com,Tull,Guillart,Group 31,Sales,USA,False
kvasiljevic3z@discuz.net,Kassie,Vasiljevic,Group 31,Sales,Bolivia,False
ndahlbom60@state.gov,Natty,Dahlbom,Group 31,Back-office,Legal,False
