Email,First Name,Last Name,Company,Department,Team,Captain
lparagreen8r@latimes.com,Lock,Paragreen,Group 21,Dev,API A,True
fwarry8v@yelp.com,Frasco,Warry,Group 21,Dev,Front-end A,False
mspaice8s@posterous.com,Mavra,Spaice,Group 21,Dev,Mobile B,False
ksoarx@ucsd.edu,Kitti,Soar,Group 21,Dev,Windows A,False
arestonci@microsoft.com,Ami,Reston,Group 21,Sales,Panama,False
dnugenti@liveinternet.ru,Dulcie,Nugent,Group 21,Sales,Mexico,False
oceritha1@51.la,Ortensia,Cerith,Group 21,Sales,Brazil,False
bjanicek2w@amazon.com,Bronson,Janicek,Group 21,Sales,Argentina,False
wbottinellib6@shop-pro.jp,Willa,Bottinelli,Group 21,Sales,Bolivia,False
ebloxsum3u@cafepress.com,Emera,Bloxsum,Group 21,Back-office,Customer Engagement,False
ewisamad@over-blog.com,Ermina,Wisam,Group 21,Back-office,Support,False
agleetonam@ucla.edu,Annadiana,Gleeton,Group 21,Back-office,Legal,False
