Email,First Name,Last Name,Company,Department,Team,Captain
tjoseferv@ezinearticles.com,Thoma,Josefer,Group 1,Back-office,Customer Engagement,True
bartrick9a@skyrock.com,Bride,Artrick,Group 1,Dev,Windows B,False
lmowsdale2q@storify.com,Lucinda,Mowsdale,Group 1,Dev,CRUD B,False
ashugg1i@naver.com,Antony,Shugg,Group 1,Dev,Front-end B,False
cpetel4i@google.com.br,Corny,Petel,Group 1,Sales,Panama,False
vparke3o@ocn.ne.jp,Vere,Parke,Group 1,Sales,Costa Rica,False
gsinfielddu@so-net.ne.jp,Garrek,Sinfield,Group 1,Sales,Australia,False
lfrick4t@google.pl,Linn,Frick,Group 1,Sales,Mexico,False
estaddom87@sogou.com,Eddy,Staddom,Group 1,Sales,Colombia,False
elacheze2g@gov.uk,Etty,Lacheze,Group 1,Back-office,Finance,False
heichj@springer.com,Hortensia,Eich,Group 1,Back-office,Support,False
amacgillacolma4@artisteer.com,Alikee,MacGillacolm,Group 1,Back-office,Legal,False
