Email,First Name,Last Name,Company,Department,Team,Captain
ositlingtona8@lulu.com,Odell,Sitlington,Group 27,Sales,Chile,True
ncleobury8h@facebook.com,Nev,Cleobury,Group 27,Dev,API B,False
cheinzcy@msn.com,Coreen,Heinz,Group 27,Dev,CRUD A,False
klindner3p@eepurl.com,Kyle,Lindner,Group 27,Dev,Mobile A,False
drhoddie4s@csmonitor.com,De,Rhoddie,Group 27,Dev,Windows A,False
acastiblancoc2@mail.ru,Alicia,Castiblanco,Group 27,Sales,Peru,False
edewfalld@canalblog.com,Egon,Dewfall,Group 27,Sales,Costa Rica,False
kwhipple2i@home.pl,Kelly,Whipple,Group 27,Sales,Mexico,False
dcroysdaledl@jiathis.com,Dan,Croysdale,Group 27,Sales,Colombia,False
npanec3@yahoo.com,Nero,Pane,Group 27,Sales,Bolivia,False
abenwell8l@reference.com,Alison,Benwell,Group 27,Back-office,Customer Engagement,False
cberrigan3w@google.co.uk,Corette,Berrigan,Group 27,Back-office,HR,False
