Email,First Name,Last Name,Company,Department,Team,Captain
pkirlinc4@sogou.com,Philly,Kirlin,Group 36,Sales,Bolivia,True
hducareld4@exblog.jp,Hayley,Ducarel,Group 36,Dev,API B,False
gbarbie2j@google.nl,Gilly,Barbie,Group 36,Dev,Mobile B,False
erotherycp@oakley.com,Edyth,Rothery,Group 36,Dev,CRUD B,False
pkovelmannag@boston.com,Pieter,Kovelmann,Group 36,Dev,Linux B,False
rsienedd@bloglovin.com,Rodd,Siene,Group 36,Sales,Peru,False
mmacaindreis4k@ameblo.jp,Marna,MacAindreis,Group 36,Sales,Costa Rica,False
ckennyf@blinklist.com,Constancia,Kenny,Group 36,Sales,Chile,False
wjedrzaszkiewicz7k@woothemes.com,Wade,Jedrzaszkiewicz,Group 36,Sales,Mexico,False
sdelued6@apache.org,Sigmund,Delue,Group 36,Sales,Colombia,False
evasiljevic45@list-manage.com,Evyn,Vasiljevic,Group 36,Back-office,Support,False
ngildroy64@taobao.com,Nydia,Gildroy,Group 36,Back-office,HR,False
