Email,First Name,Last Name,Company,Department,Team,Captain
lannellbl@fda.gov,Laurice,Annell,Group 34,Back-office,Finance,True
cboullerbg@mayoclinic.com,Cale,Bouller,Group 34,Dev,Front-end A,False
npirdue1p@china.com.cn,Nancey,Pirdue,Group 34,Dev,CRUD B,False
dmcneillct@yelp.com,Damian,McNeill,Group 34,Dev,Linux A,False
icush5u@oracle.com,Ignatius,Cush,Group 34,Sales,Peru,False
ssteptowb4@xrea.com,Susana,Steptow,Group 34,Sales,Costa Rica,False
fshale48@meetup.com,Frank,Shale,Group 34,Sales,Mexico,False
odulanty7w@blogger.com,Olenolin,Dulanty,Group 34,Sales,Portugal,False
mhorribinedc@answers.com,Marietta,Horribine,Group 34,Sales,Bolivia,False
deverit5e@wp.com,Dianemarie,Everit,Group 34,Back-office,Support,False
