Email,First Name,Last Name,Company,Department,Team,Captain
mfassbindleran@live.com,Mirelle,Fassbindler,Group 28,Dev,API A,True
ddowglassap@twitpic.com,Di,Dowglass,Group 28,Dev,Front-end A,False
lbroggelli7f@unblog.fr,Linet,Broggelli,Group 28,Dev,Back-end B,False
ahaddacks71@nyu.edu,Allianora,Haddacks,Group 28,Dev,CRUD B,False
ctroyes8j@unblog.fr,Chrysa,Troyes,Group 28,Sales,UK,False
tdwineay@blogger.com,Thebault,Dwine,Group 28,Sales,Costa Rica,False
jgrishaginb3@cafepress.com,Jenna,Grishagin,Group 28,Sales,Australia,False
tcarrett1g@unc.edu,Tabbi,Carrett,Group 28,Sales,Portugal,False
smcguinness26@rakuten.co.jp,Silvie,McGuinness,Group 28,Sales,Argentina,False
bjaher75@stumbleupon.com,Blayne,Jaher,Group 28,Sales,Bolivia,False
mtolcharde1b@google.com,Maren,Tolcharde,Group 28,Back-office,Support,False
dkermit59@dion.ne.jp,Dorene,Kermit,Group 28,Back-office,Legal,False
