Email,First Name,Last Name,Company,Department,Team,Captain
emcdonogh4r@networkadvertising.org,Erasmus,McDonogh,Group 11,Sales,Australia,True
kfiltness9@cdc.gov,Kelci,Filtness,Group 11,Dev,Windows B,False
atewelson8t@google.es,Alfy,Tewelson,Group 11,Dev,Back-end B,False
bleicester8z@unc.edu,Benton,Leicester,Group 11,Dev,CRUD B,False
tmayer6o@yandex.ru,Titos,Mayer,Group 11,Dev,Linux A,False
dbeaty1v@ezinearticles.com,Dian,Beaty,Group 11,Sales,Peru,False
sgilberthorpecn@addthis.com,Sarina,Gilberthorpe,Group 11,Sales,Costa Rica,False
msamsworth28@instagram.com,Mei,Samsworth,Group 11,Sales,Canada,False
hfearickdg@mtv.com,Holly,Fearick,Group 11,Sales,Brazil,False
grousel1c@admin.ch,Gayler,Rousel,Group 11,Sales,Colombia,False
bhackingce@alibaba.com,Bennett,Hacking,Group 11,Sales,Bolivia,False
elottebo@guardian.co.uk,Elden,Lotte,Group 11,Back-office,HR,False
