Email,First Name,Last Name,Company,Department,Team,Captain
emerrileesd5@xrea.com,Elga,Merrilees,Group 38,Dev,Mobile A,True
cdelacote4m@digg.com,Constantina,De La Cote,Group 38,Dev,Front-end A,False
gbrandliba@indiegogo.com,Gabriel,Brandli,Group 38,Dev,CRUD A,False
ppfeiferbc@springer.com,Pierce,Pfeifer,Group 38,Dev,CRUD B,False
hnavein2z@wisc.edu,Hamlen,Navein,Group 38,Dev,Linux A,False
imahaffey93@deviantart.com,Ilise,Mahaffey,Group 38,Sales,Peru,False
lthomke10@uol.com.br,Lexie,Thomke,Group 38,Sales,Australia,False
esydry92@census.gov,Elinore,Sydry,Group 38,Sales,Chile,False
mmaclaig7l@yolasite.com,Melitta,MacLaig,Group 38,Sales,Mexico,False
dcomstybf@altervista.org,Deva,Comsty,Group 38,Sales,Colombia,False
gspier7t@ftc.gov,Giuditta,Spier,Group 38,Sales,Bolivia,False
mzaczeka9@merriam-webster.com,Mannie,Zaczek,Group 38,Back-office,Legal,False
