Email,First Name,Last Name,Company,Department,Team,Captain
rstaleyd7@seattletimes.com,Rahel,Staley,Group 39,Sales,Portugal,True
hivanyushin4z@mozilla.org,Hans,Ivanyushin,Group 39,Dev,Windows B,False
kgossop61@moonfruit.com,Kiele,Gossop,Group 39,Dev,Mobile B,False
bvasyanin21@umn.edu,Barthel,Vasyanin,Group 39,Dev,Mobile A,False
nmcquilliam46@tinypic.com,Noelani,McQuilliam,Group 39,Dev,Front-end B,False
fbullardat@theglobeandmail.com,Ferd,Bullard,Group 39,Sales,Peru,False
ncaslane3r@whitehouse.gov,Niccolo,Caslane,Group 39,Sales,Australia,False
kferrarini1m@surveymonkey.com,Kerwin,Ferrarini,Group 39,Sales,Canada,False
acristofolo8e@seesaa.net,Ardys,Cristofolo,Group 39,Sales,Mexico,False
whill7h@ed.gov,Wes,Hill,Group 39,Sales,Colombia,False
chuggin3x@scribd.com,Costanza,Huggin,Group 39,Sales,Bolivia,False
hwhorfbh@hp.com,Hank,Whorf,Group 39,Back-office,Support,False
