Email,First Name,Last Name,Company,Department,Team,Captain
tarminger4c@sogou.com,Tallou,Arminger,Group 10,Sales,Costa Rica,True
eproctor4j@wsj.com,Ewart,Proctor,Group 10,Dev,API B,False
nomahony5h@netscape.com,Nealon,O' Mahony,Group 10,Dev,Back-end B,False
pmoreybw@symantec.com,Pip,Morey,Group 10,Dev,Back-end A,False
lwones67@typepad.com,Luci,Wones,Group 10,Dev,Linux A,False
twillarton4l@spiegel.de,Tersina,Willarton,Group 10,Sales,UK,False
gandroletti9v@multiply.com,Glenn,Androletti,Group 10,Sales,Canada,False
atomenson80@macromedia.com,Annadiana,Tomenson,Group 10,Sales,Mexico,False
idy3a@homestead.com,Itch,Dy,Group 10,Sales,Colombia,False
cdietzdt@yale.edu,Cathryn,Dietz,Group 10,Sales,Bolivia,False
afigincg@ucoz.com,Allyn,Figin,Group 10,Back-office,Finance,False
dbednell9s@indiegogo.com,Diena,Bednell,Group 10,Back-office,Legal,False
