Email,First Name,Last Name,Company,Department,Team,Captain
asabinebv@a8.net,Aliza,Sabine,Group 35,Sales,UK,True
cquakley5@ft.com,Carina,Quakley,Group 35,Dev,Windows B,False
knelthropp9w@upenn.edu,Kathye,Nelthropp,Group 35,Dev,Mobile B,False
ajamblin6v@mashable.com,Aleda,Jamblin,Group 35,Dev,CRUD B,False
lpaulon7p@issuu.com,Lezlie,Paulon,Group 35,Dev,Linux A,False
trapleybb@ihg.com,Trent,Rapley,Group 35,Sales,Peru,False
zpodsa6@timesonline.co.uk,Zacherie,Pods,Group 35,Sales,Panama,False
sbunyan49@sitemeter.com,Sonnie,Bunyan,Group 35,Sales,Canada,False
jmoscone6s@illinois.edu,Jacinta,Moscone,Group 35,Sales,Mexico,False
adefraine62@newsvine.com,Ailbert,De Fraine,Group 35,Sales,Argentina,False
peldridge9z@acquirethisname.com,Paolina,Eldridge,Group 35,Back-office,Finance,False
ljobey9f@wired.com,Lanie,Jobey,Group 35,Back-office,Legal,False
