Email,First Name,Last Name,Company,Department,Team,Captain
bgeorgiev2e@chicagotribune.com,Burlie,Georgiev,Group 5,Sales,Australia,True
sromeril9m@cafepress.com,Stephenie,Romeril,Group 5,Dev,API B,False
dmcilmorie31@nba.com,Darrelle,McIlmorie,Group 5,Dev,CRUD A,False
hwinmill2d@fc2.com,Halli,Winmill,Group 5,Dev,Mobile A,False
ccolecrough9r@a8.net,Chuck,Colecrough,Group 5,Dev,API A,False
cpetrik9g@bbc.co.uk,Cassondra,Petrik,Group 5,Sales,Peru,False
gdanhel3d@4shared.com,Gabi,Danhel,Group 5,Sales,Costa Rica,False
ditzcakda@ftc.gov,Derick,Itzcak,Group 5,Sales,Chile,False
pdenholm5k@networkadvertising.org,Palm,Denholm,Group 5,Sales,Brazil,False
qcunniffcv@bizjournals.com,Quinton,Cunniff,Group 5,Sales,Portugal,False
hcrimpe9h@japanpost.jp,Hersh,Crimpe,Group 5,Sales,Bolivia,False
rdebill12@addthis.com,Roxi,Debill,Group 5,Back-office,HR,False
