Email,First Name,Last Name,Company,Department,Team,Captain
swetter5r@wordpress.com,Sal,Wetter,Group 13,Dev,Back-end A,True
dformilli2o@ihg.com,Dillie,Formilli,Group 13,Dev,Windows B,False
vlabb1t@un.org,Vale,Labb,Group 13,Dev,Mobile B,False
ibateson4n@ucoz.com,Isak,Bateson,Group 13,Dev,Mobile A,False
rshillaker8i@webeden.co.uk,Rakel,Shillaker,Group 13,Dev,Windows A,False
mendrighibn@gmpg.org,Meyer,Endrighi,Group 13,Sales,Peru,False
gsteinor5d@storify.com,Germain,Steinor,Group 13,Sales,Australia,False
awoodroffebu@vistaprint.com,Adrea,Woodroffe,Group 13,Sales,Chile,False
wlanfered8@storify.com,Whitby,Lanfere,Group 13,Sales,Brazil,False
zjigginscu@slideshare.net,Zoe,Jiggins,Group 13,Sales,USA,False
svoglck@europa.eu,Solomon,Vogl,Group 13,Sales,Argentina,False
phaliday2y@skyrock.com,Pammy,Haliday,Group 13,Back-office,Legal,False
