Email,First Name,Last Name,Company,Department,Team,Captain
aknifton9y@sun.com,Ansell,Knifton,Group 26,Back-office,HR,True
bthwaitesd1@cpanel.net,Blakeley,Thwaites,Group 26,Dev,Front-end A,False
rgrigorecw@europa.eu,Rosemary,Grigore,Group 26,Dev,CRUD A,False
ccrosslando@japanpost.jp,Chrystal,Crossland,Group 26,Dev,Mobile A,False
sgainsboro6b@example.com,Shawnee,Gainsboro,Group 26,Dev,API A,False
gcuzen5x@ox.ac.uk,Gard,Cuzen,Group 26,Sales,UK,False
uletchford1n@slate.com,Uri,Letchford,Group 26,Sales,Costa Rica,False
cdesaur34@jimdo.com,Casie,Desaur,Group 26,Sales,Chile,False
ctrobey57@discovery.com,Casper,Trobey,Group 26,Sales,Brazil,False
cbrunelleschi5j@angelfire.com,Caleb,Brunelleschi,Group 26,Sales,Argentina,False
regiloff2c@angelfire.com,Rozamond,Egiloff,Group 26,Back-office,Finance,False
fduplan5t@dailymail.co.uk,Florance,Duplan,Group 26,Back-office,Legal,False
