Email,First Name,Last Name,Company,Department,Team,Captain
msycamore22@ycombinator.com,Maurice,Sycamore,Group 4,Back-office,Finance,True
grobbe6l@typepad.com,Gretal,Robbe,Group 4,Dev,API B,False
vbradburnb2@guardian.co.uk,Vivyan,Bradburn,Group 4,Dev,Back-end B,False
ttillycm@arizona.edu,Thayne,Tilly,Group 4,Dev,CRUD B,False
etomasinicj@list-manage.com,Ede,Tomasini,Group 4,Dev,Windows A,False
tlorrowayc6@cdc.gov,Tudor,Lorroway,Group 4,Dev,API A,False
jlentschbj@comsenz.com,Judas,Lentsch,Group 4,Sales,Panama,False
wfeechan5v@netscape.com,Wynn,Feechan,Group 4,Sales,Chile,False
vstquenin6k@plala.or.jp,Venita,St Quenin,Group 4,Sales,Brazil,False
aberteletdo@mtv.com,Aarika,Bertelet,Group 4,Sales,Portugal,False
cburlesdm@businessinsider.com,Caesar,Burles,Group 4,Sales,Bolivia,False
jjoustb8@wikipedia.org,Josiah,Joust,Group 4,Back-office,Legal,False
