Email,First Name,Last Name,Company,Department,Team,Captain
kcucksondq@yolasite.com,Kylynn,Cuckson,Group 42,Dev,CRUD A,True
aoconnell8m@amazon.co.jp,Aristotle,O' Connell,Group 42,Dev,Front-end A,False
wvieyradf@umn.edu,Wells,Vieyra,Group 42,Dev,Back-end B,False
iquenell8g@timesonline.co.uk,Ines,Quenell,Group 42,Dev,Back-end A,False
glorriman20@rediff.com,Gorden,Nickolson,Group 42,Dev,Linux B,False
bscripture1@addthis.com,Bo,Scripture,Group 42,Sales,Peru,False
cdableaa@phpbb.com,Creighton,Dable,Group 42,Sales,Australia,False
fsivewright32@theglobeandmail.com,Fredelia,Sivewright,Group 42,Sales,Chile,False
ssebrensdh@vk.com,Sonni,Sebrens,Group 42,Sales,Brazil,False
hwillmera3@fotki.com,Hurleigh,Willmer,Group 42,Sales,USA,False
grojel33@ucoz.ru,Gleda,Rojel,Group 42,Back-office,Finance,False
kgavan6u@wikispaces.com,Kendricks,Gavan,Group 42,Back-office,Legal,False
