Email,First Name,Last Name,Company,Department,Team,Captain
edelahaye9l@artisteer.com,Elvis,De La Haye,Group 25,Dev,Windows A,True
apetto7m@smh.com.au,Abdul,Petto,Group 25,Dev,Windows B,False
aorrock6g@cbslocal.com,Alisun,Orrock,Group 25,Dev,Back-end B,False
bfarlam8c@angelfire.com,Benetta,Farlam,Group 25,Dev,Mobile A,False
gguerreiro3m@bravesites.com,Godfrey,Guerreiro,Group 25,Dev,Linux A,False
mallberry3@bbc.co.uk,Mattias,Allberry,Group 25,Sales,UK,False
bmenhci4x@noaa.gov,Becka,Menhci,Group 25,Sales,Costa Rica,False
scissonak@is.gd,Serena,Cisson,Group 25,Sales,Australia,False
hiaduccelli7z@army.mil,Hedvig,Iaduccelli,Group 25,Sales,Mexico,False
chache68@businessweek.com,Cass,Hache,Group 25,Sales,USA,False
ksyndercc@businesswire.com,Kiri,Synder,Group 25,Sales,Bolivia,False
abussonk@usgs.gov,Amie,Busson,Group 25,Back-office,HR,False
