Email,First Name,Last Name,Company,Department,Team,Captain
bnazaret8w@shinystat.com,Beverlee,Nazaret,Group 22,Sales,Colombia,True
smcgillivrayc@amazon.co.jp,Saw,McGillivray,Group 22,Dev,API B,False
nballoch5o@weibo.com,Nada,Balloch,Group 22,Dev,CRUD A,False
ascooneau@domainmarket.com,Angie,Scoone,Group 22,Dev,CRUD B,False
ijordison6p@ucsd.edu,Ivie,Jordison,Group 22,Dev,API A,False
nwhitford4g@stanford.edu,Noami,Whitford,Group 22,Sales,UK,False
erollins9i@aboutads.info,Ellerey,Rollins,Group 22,Sales,Panama,False
jgrieves6q@github.com,Juliann,Grieves,Group 22,Sales,Canada,False
bisaksson4b@jigsy.com,Brigitta,Isaksson,Group 22,Sales,Brazil,False
cglidder76@tumblr.com,Corinne,Glidder,Group 22,Sales,Portugal,False
eboothaf@sina.com.cn,Eli,Booth,Group 22,Sales,Argentina,False
dcornbill25@seesaa.net,Daile,Cornbill,Group 22,Back-office,Legal,False
