Email,First Name,Last Name,Company,Department,Team,Captain
mpaddick43@yahoo.co.jp,Mohandas,Paddick,Group 9,Dev,Mobile B,True
tvanthoog56@google.fr,Timmie,Van T'Hoog,Group 9,Dev,API B,False
fgallicocs@e-recht24.de,Frannie,Gallico,Group 9,Dev,Back-end B,False
dmannindn@wsj.com,Dalenna,Mannin,Group 9,Dev,Back-end A,False
tmaccafferty4d@auda.org.au,Thedric,MacCafferty,Group 9,Dev,Linux A,False
korudden52@msu.edu,Kermy,O'Rudden,Group 9,Sales,UK,False
cwoolfe@jiathis.com,Coriss,Woolf,Group 9,Sales,Australia,False
pmarshland19@opera.com,Pat,Marshland,Group 9,Sales,Chile,False
tdrescherbp@theatlantic.com,Trish,Drescher,Group 9,Sales,Brazil,False
laddekin5a@zimbio.com,Legra,Addekin,Group 9,Sales,Argentina,False
fadolf6@arstechnica.com,Feodor,Adolf,Group 9,Back-office,Finance,False
apitsall65@photobucket.com,Alidia,Pitsall,Group 9,Back-office,Legal,False
