Email,First Name,Last Name,Company,Department,Team,Captain
cchalfant99@nymag.com,Chrysa,Chalfant,Group 23,Back-office,Legal,True
tpanton3j@ning.com,Tilly,Panton,Group 23,Dev,Front-end A,False
eshugg3n@mayoclinic.com,Esme,Shugg,Group 23,Dev,Mobile B,False
ttomovic3c@4shared.com,Trent,Tomovic,Group 23,Dev,Back-end A,False
aburgum4a@trellian.com,Artair,Burgum,Group 23,Dev,Front-end B,False
balden7j@1und1.de,Brinn,Alden,Group 23,Sales,UK,False
sjuarez66@edublogs.org,Sophie,Juarez,Group 23,Sales,Australia,False
rbalfour6z@live.com,Reagan,Balfour,Group 23,Sales,Chile,False
dmitchinerbx@abc.net.au,Dorise,Mitchiner,Group 23,Sales,Mexico,False
agaylord6r@google.nl,Arie,Gaylord,Group 23,Sales,Portugal,False
tgilderc7@ucoz.ru,Teddie,Gilder,Group 23,Sales,Bolivia,False
mkettoe2p@imageshack.us,Myrilla,Kettoe,Group 23,Back-office,HR,False
