Email,First Name,Last Name,Company,Department,Team,Captain
tdrawmer8k@psu.edu,Terrence,Drawmer,Group 20,Sales,Portugal,True
sattwell0@eventbrite.com,Sapphire,Attwell,Group 20,Dev,API B,False
rdelia17@unc.edu,Rita,Delia,Group 20,Dev,Back-end B,False
apaulmannae@rambler.ru,Amity,Paulmann,Group 20,Dev,CRUD B,False
aloseke85@vkontakte.ru,Amalie,Loseke,Group 20,Dev,Linux B,False
pthurstan9n@1und1.de,Pierson,Thurstan,Group 20,Sales,UK,False
laseef55@harvard.edu,Lancelot,Aseef,Group 20,Sales,Costa Rica,False
kdunnettg@google.ru,Ketti,Dunnett,Group 20,Sales,Canada,False
kluce1e@dyndns.org,Kaila,Luce,Group 20,Sales,Brazil,False
coneal51@google.nl,Cecilio,O'Neal,Group 20,Sales,Bolivia,False
dmelbert47@craigslist.org,Darelle,Melbert,Group 20,Back-office,Customer Engagement,False
kroseas@microsoft.com,Kirbee,Rose,Group 20,Back-office,Legal,False
